id,bPb-6318,3_1533,[105118],bPb-5672,bPb-0579,2_0121,FGX_OWB00334,1_0339,scssr04163,FGX_OWB00196,[221144],2_0593,bPb-6438,2_1094,bPb-3563,FGX_OWB00343,bPb-1085,scssr08447,2_0797,2_0742,bPb-2929,1_0391,2_0124,3_0342,[221563],2_1117,CDO542,3_0331,1_1500,3_0146,3_0825,bPb-0170,3_0167,1_0318,3_0182,FGX_OWB00498,[222906],[221535],[223608],rob,1_1261,DsT-74,[220848],2_1419,FGX_OWB00032,bPb-0678,[104913],2_0685,Ris44,bPb-3232,ThA1,leaf_var
,1H,1H,1H,1H,1H,1H,1H,1H,1H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H,7H,7H,7H,un
,0,13.732,30.035,46.406,52.668,78.851,110.721,135.899,158.343,1.26,9.926,43.874,66.215,76.077,113.557,146.334,182.86,187.799,3.704,22.412,36.151,62.33,82.268,121.34,207.564,0,33.027,52.995,82.938,114.087,126.756,0,35.853,59.933,120.283,153.173,216.454,237.807,0,64.957,78.757,154.744,163.443,0,7.377,34.81,82.7,103.94,146.171,180.66,204.017,0
OWB10,a,a,a,a,a,a,b,b,b,-,a,b,a,a,a,a,b,b,a,a,a,a,a,a,-,b,a,a,b,b,a,b,b,b,b,a,b,b,b,a,b,a,a,a,a,a,a,a,a,a,a,a
OWB11,a,a,b,b,b,b,b,b,b,a,a,a,a,a,a,a,b,b,a,a,a,b,b,b,b,b,b,a,a,a,a,a,a,b,a,a,a,a,b,b,b,b,b,b,b,a,b,b,a,a,a,-
OWB13,a,a,b,b,b,b,b,b,a,a,b,b,a,a,b,b,b,b,b,b,b,b,a,b,-,b,b,b,b,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,a,a,b,b
OWB14,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,a,a,a,a,a,b,b,b,a,b,b,a,a,b,a,b,a,b,b,b,b,b,b,a,a,a,b,a,-
OWB16,b,b,a,a,a,a,a,a,a,b,b,a,a,a,a,b,b,b,a,a,a,a,b,b,b,a,a,b,a,a,b,a,a,b,b,a,a,a,a,a,a,a,a,a,a,b,b,b,b,b,a,-
OWB17,b,b,b,b,b,b,b,b,b,a,a,a,a,a,a,b,b,b,b,b,a,a,a,b,b,b,b,b,b,a,a,b,a,a,a,b,b,b,b,a,a,a,-,a,a,a,b,b,b,b,a,a
OWB18,b,b,b,a,a,a,a,a,b,a,a,a,a,b,b,b,b,b,a,a,a,a,a,b,b,b,b,b,a,b,b,b,a,a,a,a,b,b,a,a,a,a,a,b,b,b,b,b,a,a,b,a
OWB19,b,b,b,b,a,a,-,a,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,a,a,a,a,b,a,a,b,b,a,-,b,b,b,b,b,a,b
OWB2,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,a,a,b,a,a,a,a,b,b,b,b,b,a,a,a,b,b,b,b,a,a,a,b,b,b,a,a,b,b,a,b,b,b,b,b,a
OWB20,b,b,b,b,b,b,a,a,b,a,a,a,a,b,a,a,a,a,a,a,a,a,b,b,a,b,a,a,a,a,a,b,b,b,b,b,-,a,a,b,b,b,b,b,b,b,b,a,a,b,b,a
OWB21,b,b,a,a,a,a,b,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,a,b,b,a,a,a,a,b,b,b,a,a,b,a,a,a,a,b,b,b,b,b,b,b,b,a,a,a
